time_entry,time_exit,symbol,side,entry,exit,pnl_pct,reason,profile_run,risk_perc_run,R_multiple,account_pnl_pct,account_pnl_usd,equity_before,equity_after,qty,notional_usd,time_limit_applied,time_limit_minutes,unrealized_pct_at_90m,be_armed,leg,leg_fraction
2025-08-16 14:13:59,2025-08-16 15:43:59,ETHUSDT,LONG,4399.190000,4399.190000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,13719.15,13719.15,51.976044,228652.49,True,90,,False,FULL,1.00
2025-08-16 15:44:59,2025-08-16 17:15:59,ETHUSDT,LONG,4395.990000,4395.990000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,13719.15,13719.15,52.013879,228652.49,True,90,,False,FULL,1.00
2025-08-16 17:16:59,2025-08-16 18:46:59,ETHUSDT,LONG,4393.180000,4409.790000,0.3781,ExitD_TimeMax_Profit,SAFE,100.00,0.0630,6.3014,864.50,13719.15,14583.65,52.047149,228652.49,True,90,,False,FULL,1.00
2025-08-16 18:47:59,2025-08-16 20:17:59,ETHUSDT,LONG,4412.820000,4428.370000,0.3524,ExitD_TimeMax_Profit,SAFE,100.00,0.0587,5.8730,856.50,14583.65,15440.16,55.080624,243060.88,True,90,,False,FULL,1.00
2025-08-16 20:18:59,2025-08-16 21:48:59,ETHUSDT,LONG,4428.040000,4428.040000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,15440.16,15440.16,58.115089,257335.94,True,90,,False,FULL,1.00
2025-08-16 21:49:59,2025-08-16 23:21:59,ETHUSDT,LONG,4421.540000,4421.540000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,15440.16,15440.16,58.200523,257335.94,True,90,,False,FULL,1.00
2025-08-16 23:22:59,2025-08-17 00:52:59,ETHUSDT,LONG,4415.960000,4415.960000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,15440.16,15440.16,58.274065,257335.94,True,90,,False,FULL,1.00
2025-08-17 00:53:59,2025-08-17 02:23:59,ETHUSDT,LONG,4410.970000,4410.970000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,15440.16,15440.16,58.339989,257335.94,True,90,,False,FULL,1.00
2025-08-17 02:24:59,2025-08-17 03:54:59,ETHUSDT,LONG,4411.740000,4456.440000,1.0132,ExitD_TimeMax_Profit,SAFE,100.00,0.1689,16.8868,2607.34,15440.16,18047.50,58.329806,257335.94,True,90,,False,FULL,1.00
2025-08-17 03:55:59,2025-08-17 05:25:59,ETHUSDT,LONG,4452.220000,4474.040000,0.4901,ExitD_TimeMax_Profit,SAFE,100.00,0.0817,8.1682,1474.16,18047.50,19521.66,67.559924,300791.64,True,90,,False,FULL,1.00
2025-08-17 05:26:59,2025-08-17 06:56:59,ETHUSDT,LONG,4477.040000,4477.040000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,19521.66,19521.66,72.673225,325360.94,True,90,,False,FULL,1.00
2025-08-17 06:57:59,2025-08-17 08:27:59,ETHUSDT,LONG,4456.920000,4472.450000,0.3484,ExitD_TimeMax_Profit,SAFE,100.00,0.0581,5.8074,1133.71,19521.66,20655.37,73.001296,325360.94,True,90,,False,FULL,1.00
2025-08-17 08:28:59,2025-08-17 09:58:59,ETHUSDT,LONG,4472.890000,4542.600000,1.5585,ExitD_TimeMax_Profit,SAFE,100.00,0.2598,25.9750,5365.23,20655.37,26020.60,76.965028,344256.11,True,90,,False,FULL,1.00
2025-08-17 09:59:59,2025-08-17 11:29:59,ETHUSDT,LONG,4543.140000,4555.230000,0.2661,ExitD_TimeMax_Profit,SAFE,100.00,0.0444,4.4353,1154.08,26020.60,27174.68,95.457468,433676.64,True,90,,False,FULL,1.00
2025-08-17 11:30:59,2025-08-17 13:00:59,ETHUSDT,LONG,4557.170000,4557.170000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,27174.68,27174.68,99.384337,452911.32,True,90,,False,FULL,1.00
2025-08-17 13:01:59,2025-08-17 14:31:59,ETHUSDT,LONG,4536.150000,4546.500000,0.2282,ExitD_TimeMax_Profit,SAFE,100.00,0.0380,3.8028,1033.39,27174.68,28208.07,99.844873,452911.32,True,90,,False,FULL,1.00
2025-08-17 14:32:59,2025-08-17 16:02:59,ETHUSDT,LONG,4547.110000,4560.000000,0.2835,ExitD_TimeMax_Profit,SAFE,100.00,0.0472,4.7246,1332.72,28208.07,29540.80,103.391948,470134.56,True,90,,False,FULL,1.00
2025-08-17 16:03:59,2025-08-17 17:33:59,ETHUSDT,LONG,4552.310000,4552.310000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,29540.80,29540.80,108.153135,492346.60,True,90,,False,FULL,1.00
